sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
69,1,11,calib_11_far_right,0.754718542098999,-0.6059224009513855,-0.026077672839164734,0.5414952039718628,-1.7626196495257318e-05,394,73,0.8730000138282776,0.9196341037750244,"[337.59320068359375, 31.123046875, 451.97344970703125, 115.06491088867188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0069_cycle_01_pose_11_calib_11_far_right.jpg
70,1,11,calib_11_far_right,0.8513593077659607,-0.6243301630020142,0.013805827125906944,0.5414952039718628,-1.7626196495257318e-05,428,81,0.881000030040741,0.9309315085411072,"[376.17767333984375, 46.27700424194336, 480.71820068359375, 117.69143676757812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0070_cycle_01_pose_11_calib_11_far_right.jpg
71,1,12,calib_12_left_high,0.8467574119567871,-0.6243301630020142,0.013805827125906944,0.5414952039718628,-1.7626196495257318e-05,436,86,0.915000069141388,0.823788583278656,"[389.1656188964844, 51.370445251464844, 484.3616638183594, 122.25536346435547]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0071_cycle_01_pose_12_calib_12_left_high.jpg
72,1,12,calib_12_left_high,0.5706408619880676,-0.6273981332778931,0.16873788833618164,0.3773592710494995,-1.7626196495257318e-05,436,86,0.9160000562667847,0.8176082372665405,"[388.8445129394531, 50.65435791015625, 484.1252136230469, 122.60848999023438]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0072_cycle_01_pose_12_calib_12_left_high.jpg
73,1,12,calib_12_left_high,0.24236896634101868,-0.6335340738296509,0.35128161311149597,0.18100973963737488,-1.7626196495257318e-05,421,96,0.8700000524520874,0.9329382181167603,"[365.74139404296875, 59.67657470703125, 476.87725830078125, 133.79049682617188]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0073_cycle_01_pose_12_calib_12_left_high.jpg
74,1,12,calib_12_left_high,-0.041417479515075684,-0.6412039399147034,0.5077476501464844,0.013805827125906944,-1.7626196495257318e-05,386,114,0.8820000171661377,0.9378765821456909,"[332.01495361328125, 76.66232299804688, 441.84906005859375, 152.26719665527344]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0074_cycle_01_pose_12_calib_12_left_high.jpg
75,1,12,calib_12_left_high,-0.27765053510665894,-0.6458058953285217,0.6396700143814087,-0.12885437905788422,-3.5252818634035066e-05,357,126,0.8780000686645508,0.9445628523826599,"[308.96124267578125, 88.48681640625, 406.08929443359375, 164.4136962890625]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0075_cycle_01_pose_12_calib_12_left_high.jpg
76,1,12,calib_12_left_high,-0.5568350553512573,-0.6504078507423401,0.7946020364761353,-0.29452431201934814,-1.7626196495257318e-05,329,137,0.8860000252723694,0.9473025798797607,"[280.6036376953125, 100.93020629882812, 378.605224609375, 174.26467895507812]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0076_cycle_01_pose_12_calib_12_left_high.jpg
77,1,12,calib_12_left_high,-0.6565437912940979,-0.6519418358802795,0.8513593077659607,-0.35588353872299194,-1.7626196495257318e-05,309,151,0.8890000462532044,0.9021497368812561,"[242.91668701171875, 115.13308715820312, 376.6336669921875, 187.07635498046875]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0077_cycle_01_pose_12_calib_12_left_high.jpg
78,1,13,calib_13_right_high,-0.6504078507423401,-0.6519418358802795,0.8528932929039001,-0.35588353872299194,-1.7626196495257318e-05,285,155,0.9200000643730164,0.9146161675453186,"[234.57818603515625, 119.90078735351562, 336.3330078125, 190.28140258789062]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0078_cycle_01_pose_13_calib_13_right_high.jpg
